name,rating,title,body,date,date_raw,issue_list,is_business,churn_score,churn_risk_level
Michael Trevelyan,4,Cant be without it,,2026-04-02 16:43:20+00:00,3 minutes ago,[],False,0,LOW RISK (Healthy)
john hutchinson,1,useless customer support,I tried to change the name on my account so my customers see my business name rather than my name After 20 minutes explaining this via on line chat to someone who clearly didnt understand they hung up supply a telephone number,2026-04-02 16:42:45+00:00,3 minutes ago,['Support failure'],False,60,HIGH RISK (Churn Likely)
Claire,5,Quick,"Quick, simple",2026-04-02 16:38:33+00:00,7 minutes ago,[],False,0,LOW RISK (Healthy)
Liam cook,5,Brillant company for my small buisness,,2026-04-02 16:35:54+00:00,10 minutes ago,[],False,0,LOW RISK (Healthy)
salesparsleyandthyme.com,1,"STAY AWAY DREADFUL CUSTOMER SERVICE ,NO…","STAY AWAY DREADFUL CUSTOMER SERVICE ,NO SUPPORT",2026-04-02 14:37:32+00:00,2 hours ago,['Support failure'],True,70,CRITICAL (Immediate Action Needed)
Myles Calvert,5,Great service never had a problem,Great service never had a problem Good little card reader,2026-04-02 08:51:55+00:00,8 hours ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
DARSAKKUMAR Patel,5,Very nice Benk uk,Very nice Brnk uk no 1,2026-04-01 21:42:24+00:00,19 hours ago,[],False,0,LOW RISK (Healthy)
Diana Shepherd,5,So straight forward,So straight forward,2026-04-01 19:51:06+00:00,21 hours ago,[],False,0,LOW RISK (Healthy)
Maleke Ndegala Mbengu,5,Fast transfer,,2026-04-01 19:44:01+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Prakash Dhakal,4,Very nice and good for work,,2026-04-01 19:08:29+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Robert Hope,2,Works ok most of the time but started…,Works ok most of the time but started using my IPhone to take payments and found that Mastercards only works 1 of the time though the iPhone contacted support and got nowhere,2026-04-01 13:38:38+00:00,A day ago,"['Support failure', 'Technical/Hardware']",False,40,MEDIUM RISK (Monitor)
Peshawa ALI,5,Very good,Very good Happy,2026-04-01 12:47:09+00:00,A day ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
Nicholas,5,I have no complaints,I have no complaints The system is great for the craft fairs I do Giving customers the choice to pay cash or card,2026-04-01 12:26:27+00:00,A day ago,[],False,0,LOW RISK (Healthy)
Ram Mo,1,Sum up is theif,"Sum up is theif, be careful they wait for you till you reach amount of £3000 then they will block your account and say oh it’s permpently blocked as account is under reviews after I been using it for 4 month for my furniture business I have receipts and online order to prove the funds but they won’t give you the option to appeal or show approve now all sudden they ignoring me and I can’t log to my account they say it will take 2months to review or find all customer I sold to refund  But how can I do either I can’t even refund to my customer they bologked my account and no one is talking to me on support help line it’s all fake please be careful they theif stealing people money then ignore me to get solutions I will see you guys in court",2026-04-01 11:46:17+00:00,A day ago,"['Support failure', 'Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,60,HIGH RISK (Churn Likely)
Faruk Ozturk,5,Great service,Great service,2026-04-01 11:26:25+00:00,A day ago,[],True,0,LOW RISK (Healthy)
GreenProject,2,So many problem with the app,"So many problem with the app So many security questions , so many verifying questions, so many face recognition Just want to send my own money to myself and got so many problem with that Fee from space  If thats how gonna looks future we all should will stick to cash",2026-04-01 09:53:03+00:00,A day ago,"['Account/Funds Blocked', 'Technical/Hardware', 'Pricing/Refunds']",False,40,MEDIUM RISK (Monitor)
Danai Riala,5,Great app for my business,Great app for my business Super easy,2026-04-01 09:25:19+00:00,A day ago,['Technical/Hardware'],False,0,LOW RISK (Healthy)
